source_id,species,file,title,publisher,tier,route,usability,collected_by,url,accessed_at,capture,bytes,sha256_short,quality,submit_ok,notes
S-021,dog,snapshot/dog/S-021_40-poisonous-toxic-foods-dogs.md,40 Poisonous & Toxic Foods for Dogs (A to Z),Wild Earth (사료회사 블로그),3,A,B 가공활용,이근준,https://wildearth.com/blogs/dog-knowledge/40-poisonous-toxic-foods-for-dogs-a-to-z-list,2026-07-31,WebFetch 텍스트 추출,3450,09567cac9076c5e6,완전,X,제목의 40종과 달리 J/K/L/Q/U/V/Z 행 없음 — 원문 누락 여부 불명
S-023,mammal,snapshot/mammal/S-023_people-foods-to-avoid-feeding-pets.md,People Foods to Avoid Feeding Your Pets,ASPCA,2,A,B 가공활용,오한빈,https://www.aspca.org/pet-care/aspca-poison-control/people-foods-avoid-feeding-your-pets,2026-07-31,WebFetch 텍스트 추출,5258,00ab276392648ef6,완전,X,
S-025,all,snapshot/all/S-025_toxic-and-non-toxic-plants.md,Toxic and Non-Toxic Plants (통합 DB),ASPCA,2,A,B 가공활용,오한빈,https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants,2026-07-31,WebFetch 텍스트 추출,1550,4e3acf47fc29cce8,요약,X,"JS 렌더링 DB 미취득. 서술 요약뿐 — 사실 추출 불가. ⚠️S-031 CSV는 2026-07-31 삭제됨(DELETION_LOG) — 대체 없음, ASPCA 공식 경로 재수집 필요"
S-027,all,snapshot/all/S-027_emergency-instructions.md,Emergency Instructions (응급 대처),Pet Poison Helpline,2,B,B 가공활용,오한빈,https://www.petpoisonhelpline.com/pet-owners/emergency/,2026-07-31,WebFetch 텍스트 추출,797,1061306ec3dc943f,완전,X,원문 자체가 6줄 체크리스트
S-029,all,snapshot/all/S-029_potentially-dangerous-items-for-pets.md,Potentially Dangerous Items for Your Pet,FDA,1,B,A 자유이용,이근준,https://www.fda.gov/animal-veterinary/animal-health-literacy/potentially-dangerous-items-your-pet,2026-07-31,WebFetch 텍스트 추출,5262,1d174c7976adf23f,완전,O,식용·비식용·식물 3개 목록 전량
S-030,all,snapshot/all/S-030_shelter-brochure-plants.md,Shelter Brochure — Plants,FOUR PAWS International,2,A,B 가공활용,이근준,https://fourpaws.org/wp-content/uploads/2023/08/AAP_Shelter_Brochures_Updates_Plants.pdf,2026-07-31,WebFetch 텍스트 추출,7341,d6e27bc75fad27b1,완전,X,10개 식물군 독성량·증상·발현시간 보존. ⚠️핫라인 855-289-0358 — 타 자료와 상이
S-032,all,snapshot/all/S-032_veterinary-partner-pet-owner-index.md,VeterinaryPartner (VIN) 인덱스,VIN / VeterinaryPartner,2,B,B 가공활용,이근준,https://veterinarypartner.vin.com/default.aspx?pid=19239,2026-07-31,WebFetch 텍스트 추출,2641,076e9d643fd2eec3,빈약,X,2026-07-31 재시도 성공. 단 랜딩/인덱스 페이지 — 카테고리·기사 제목 목록뿐이고 수치·임계값 없음. 개별 기사 URL 재수집 필요
S-037,mammal,snapshot/mammal/S-037_help-is-this-a-pet-emergency.md,Help! Is This a Pet Emergency?,AAHA,2,B,B 가공활용,오한빈,https://www.aaha.org/resources/help-is-this-a-pet-emergency/,2026-07-31,WebFetch 텍스트 추출,4988,2102df87d44bb38d,완전,X,
S-038,mammal,snapshot/mammal/S-038_respiratory-distress-in-pets.md,Respiratory distress in pets,AAHA,2,B,B 가공활용,오한빈,https://aaha.org/wp-content/uploads/2024/05/Respiratory-distress-in-pets.pdf,2026-07-31,WebFetch 텍스트 추출,4024,bdf66fe9ccd7c88a,완전,X,"⚠️개/고양이 해당 체크 셀 유실. 수치(103F, 15–30 vs 40–60회/분)는 보존"
S-040,mammal,snapshot/mammal/S-040_emergency-critical-care.md,Emergency & Critical Care,Cornell 수의과대학,1,B,B 가공활용,오한빈,https://www.vet.cornell.edu/hospitals/services/emergency-critical-care,2026-07-31,WebFetch 텍스트 추출,2432,8efbdad49e83a9db,부적합,X,Nemo Farm(대동물·말) 응급실 페이지 — 소동물 아님. 종 적합성 재검토
S-042,all,snapshot/all/S-042_aafco-pet-food-committee.md,Pet Food Committee (영양 기준),AAFCO,1,C+B,C 확보필요,오한빈,https://www.aafco.org/about/committees/pet-food/,2026-07-31,WebFetch 텍스트 추출,1274,1118e9fb43536a15,빈약,X,위원회 소개 페이지. 영양 기준 수치 없음 — C 확보필요 유지
S-046,all,snapshot/all/S-046_fda-recalls-withdrawals.md,Recalls & Withdrawals (리콜 포털),FDA,1,B/C,A 자유이용,오한빈,https://www.fda.gov/animal-veterinary/safety-health/recalls-withdrawals,2026-07-31,WebFetch 텍스트 추출,2493,db65d1a2868c82a9,부분,O,최근 10행만. 전체 목록은 페이지네이션. 2026-07-02 기준 시점 자료
S-047,mammal,snapshot/mammal/S-047_dog-fruit-feeding-guide.md,강아지 과일 급여 기준,Hill's Pet Nutrition,3,참고,B 가공활용,이근준,https://www.hillspet.co.kr/pet-care/nutrition-feeding/can-dogs-and-cats-eat-fruit,2026-07-31,WebFetch 텍스트 추출,3077,89654b9d229f9218,완전,X,급여량 10행 표 보존 (한국어)
S-048,mammal,snapshot/mammal/S-048_raw-undercooked-protein-policy.md,Raw or Undercooked Animal-Source Protein 정책,AVMA,1,B,B 가공활용,오한빈,https://www.avma.org/resources-tools/avma-policies/raw-or-undercooked-animal-source-protein-cat-and-dog-diets,2026-07-31,WebFetch 텍스트 추출,2038,490b906f6a623d3a,요약,X,"병원체 학명은 원문 유지, 주변 서술은 축약"
S-053,dog,snapshot/dog/S-053_wsava-guide-to-treats-dogs.md,WSAVA Guide to Treats — Dogs,WSAVA 세계소동물수의사협회,1,C+A,B 가공활용,권소라,https://wsava.org/wp-content/uploads/2025/11/WSAVA_GuidetoTreats_Dogs_251107.pdf,2026-07-31,WebFetch 텍스트 추출,4574,a0fdd87cd5844721,완전,X,⚠️체중별 간식 칼로리 행에 추출 오류 의심(6–40kg 구간 32 반복). 파일 내 주석 표시 — 사실로 적재 금지
S-054,cat,snapshot/cat/S-054_wsava-guide-to-treats-cats.md,WSAVA Guide to Treats — Cats,WSAVA 세계소동물수의사협회,1,C+A,B 가공활용,권소라,https://wsava.org/wp-content/uploads/2025/11/WSAVA_GuidetoTreats_Cats_251107.pdf,2026-07-31,WebFetch 텍스트 추출,5806,8325da0e8286f075,완전,X,표 2종 + 참고문헌 7건
S-055,bird,snapshot/bird/S-055_principles-of-avian-nutrition.md,Clinical Perspectives on the Principles of Avian Nutrition,Lafeber Vet,2,C+B,B 가공활용,권소라,https://lafeber.com/vet/clinical-perspectives-on-the-principles-of-avian-nutrition/,2026-07-31,WebFetch 텍스트 추출,5235,f046c8e9aa2e7cc9,요약,X,"BMR 공식·비타민A IU/kg·칼슘 % 는 보존, 서술은 요점화"
S-056,all,snapshot/all/S-056_estimating-energy-requirements.md,Estimating Energy Requirements,Lafeber Vet,2,C,B 가공활용,권소라,https://lafeber.com/vet/estimating-energy-requirements/,2026-07-31,WebFetch 텍스트 추출,2158,c0fd2cc759be7f70,완전,X,K값 목록 + 사료 칼로리 표
S-063,dog,snapshot/dog/S-063_10-barbecue-foods-dogs-shouldnt-eat.md,10 Barbecue Foods Dogs Shouldn't Eat,AAHA,2,A/B,B 가공활용,권소라,https://www.aaha.org/resources/paws-off-10-barbecue-foods-dogs-shouldnt-eat/,2026-07-31,WebFetch 텍스트 추출,4570,2e6b7d3a87cbc90e,완전,X,
S-064,dog,snapshot/dog/S-064_fruits-vegetables-dogs-can-and-cant-eat.md,Fruits & Vegetables Dogs Can and Can't Eat,American Kennel Club,2,A/B,B 가공활용,권소라,https://www.akc.org/expert-advice/nutrition/fruits-vegetables-dogs-can-and-cant-eat/,2026-07-31,WebFetch 텍스트 추출,13488,d922c165190d1f77,완전,X,
S-070,bird,snapshot/bird/S-070_avian-toxicoses-a-review-2025.md,Avian toxicoses: a review,"Frontiers in Veterinary Science, 2025, 12:1572736",1,B+A,A 자유이용,이서은,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2025.1572736/full,2026-08-01,팀원 크롤링 정리본,8910,599d939b493b8330,완전,O,"★2026-08-01 이서은 재수집으로 교체. 이전 판은 축약본(요약, 2,423B)이라 인용 불가였다 → 전문 8,910B"
S-071,bird,snapshot/bird/S-071_household-dangers-2020.md,Household Dangers (2020),AAV 미국조류수의사회,1,A/B,B 가공활용,이서은,https://cdn.ymaws.com/www.aav.org/resource/resmgr/pdf_2019/aav_household_dangers2020.pdf,2026-07-31,WebFetch 텍스트 추출,11791,82133aa0a064956e,완전,X,식물 학명(Coronilla varia) + 536F/280C 임계 보존
S-072,bird,snapshot/bird/S-072_sick-birds-at-home-first-aid.md,Sick Birds At Home: First Aid,Northern Parrots (상업),3,B,B 가공활용,이서은,https://www.northernparrots.com/blog/sick-birds-at-home-first-aid/,2026-07-31,WebFetch 텍스트 추출,3202,9f542a6353a9b6c6,요약,X,"수치(25–30C, 5–10분, 20–30분)는 보존, 서술 일부 축약"
S-074,bird,snapshot/bird/S-074_teflon-toxicity-all-bird-species.md,Teflon toxicity affects all bird species,Companion Pet Magazine (상업),3,B,B 가공활용,이서은,https://companionpetmagazine.com/issues/winter-2023/teflon-toxicity-affects-all-bird-species,2026-07-31,WebFetch 텍스트 추출,3610,d9d2755d3d7e68d7,완전,X,
S-078,bird,snapshot/bird/S-078_bird-safe-household-products.md,Bird-Safe Household Products,Zubair Khalid DVM (개인 사이트),3,B,B 가공활용,이서은,https://www.zubairkhalid.com/knowledge/veterinary-medicine/pet-bird-care/bird-safe-household-products/,2026-07-31,WebFetch 텍스트 추출,7254,6ae84e56a0d8171e,완전,X,⚠️AI 생성 의심 개인 사이트 — 01b 판정 유지
S-080,dog,snapshot/dog/S-080_canine-compulsive-disorder.md,Canine Compulsive Disorder,PetMD (상업),3,B,B 가공활용,이서은,https://www.petmd.com/dog/behavior/canine-compulsive-disorder,2026-07-31,WebFetch 텍스트 추출,5764,3947a79a7a972cc4,완전,X,
S-084,mammal,snapshot/mammal/S-084_garage-and-shed-toxins.md,Garage and Shed Toxins,Pet Poison Helpline,2,A/B,B 가공활용,이서은,https://www.petpoisonhelpline.com/uncategorized/garage-shed-toxins/,2026-07-31,WebFetch 텍스트 추출,4023,685960453f281602,완전,X,
S-085,mammal,snapshot/mammal/S-085_list-of-common-pet-poisons.md,List of Common Pet Poisons,Banfield Pet Hospital,2,A/B,B 가공활용,이서은,https://www.banfield.com/Wellness-at-banfield/First-aid/List-of-common-pet-poisons,2026-07-31,WebFetch 텍스트 추출,2823,30e24b168b53b8c5,완전,X,
S-086,mammal,snapshot/mammal/S-086_cleaning-products-that-harm-pets.md,Cleaning Products That Can Harm Your Pets,PetMD (상업),3,B,B 가공활용,이서은,https://www.petmd.com/poisoning/cleaning-products-that-harm-pets,2026-07-31,WebFetch 텍스트 추출,7478,5f18da9e19d8c421,완전,X,제품 표 5종 보존
S-087,mammal,snapshot/mammal/S-087_people-foods-pets-should-never-eat.md,People Foods Pets Should Never Eat (전문가용),ASPCApro,2,A/B,B 가공활용,이서은,https://www.aspcapro.org/resource/people-foods-pets-should-never-eat,2026-07-31,WebFetch 텍스트 추출,3662,13abb6517008de6b,완전,X,
S-091,bird,snapshot/bird/S-091_foods-toxic-to-pet-birds.md,Foods Toxic to Pet Birds,Lafeber,2,A,B 가공활용,이서은,https://lafeber.com/pet-birds/foods-toxic-pet-birds/,2026-07-31,WebFetch 텍스트 추출,4181,3b9fdea827573486,완전,X,
S-092,bird,snapshot/bird/S-092_avian-first-aid.md,Avian First Aid (안내서),Niles Animal Hospital,2,B,B 가공활용,이서은,https://nilesanimalhospital.com/files/2012/05/Avian-First-Aid1.pdf,2026-07-31,WebFetch 텍스트 추출,21836,0e4d2e12c26a0e1a,완전,X,PDF 텍스트 추출. 이미지 없음
S-093,bird,snapshot/bird/S-093_tea-tree-oil-cockatiel-case.md,Acute tea tree oil intoxication in a pet cockatiel (Nymphicus hollandicus): a case report,"BMC Veterinary Research, 2020, 16:29",1,B,A 자유이용,이서은,https://doi.org/10.1186/s12917-020-2255-4,2026-08-01,팀원 크롤링 정리본,5321,89104fbd62f11063,완전,O,왕관앵무 티트리 오일 급성 중독 증례. CC BY 4.0
S-094,bird,snapshot/bird/S-094_amazonian-parrots-heavy-metal.md,Heavy Metal Poisoning and Its Impacts on the Conservation of Amazonian Parrots: An Interdi,"Biology (MDPI), 2025, 14:660",1,B,A 자유이용,이서은,https://doi.org/10.3390/biology14060660,2026-08-01,팀원 크롤링 정리본,6934,b59d7b732473a4ea,완전,O,앵무 중금속(납·아연) 중독. 야생 개체군 대상이라 반려 앵무 적용 시 주의
S-095,cat,snapshot/cat/S-095_afcd-poisonous-plants-cats.md,常見對貓有害的植物 (Common poisonous plants for cats),香港漁農自然護理署 (AFCD),2,B,B 가공활용,이서은,https://www.pets.gov.hk/tc_chi/animal_health_and_welfare/Common_poisonous_plants_for_cats.html,2026-08-01,팀원 크롤링 정리본,2901,943266b58682e6a0,완전,X,⚠️중국어(번체). 정부 표준 저작권 고지 — 상업적 재판매 금지라 제출용 배포 제외
S-096,dog,snapshot/dog/S-096_afcd-poisonous-plants-dogs.md,常見對狗有害的植物 (Common poisonous plants for dogs),香港漁農自然護理署 (AFCD),2,B,B 가공활용,이서은,https://www.pets.gov.hk/tc_chi/animal_health_and_welfare/Common_poisonous_plants_for_dogs.html,2026-08-01,팀원 크롤링 정리본,2803,aa79d8a5bdfaaa29,완전,X,⚠️중국어(번체). 상동
S-097,mammal,snapshot/mammal/S-097_envgo-petfood-guideline.md,飼い主のためのペットフード・ガイドライン ～犬・猫の健康を守るために～,環境省自然環境局 総務課 動物愛護管理室,1,B,A 자유이용,이서은,https://www.env.go.jp/nature/dobutsu/aigo/2_data/pamph/petfood_guide/pdf/full.pdf,2026-08-01,팀원 크롤링 정리본,5732,ed7558e5dc8c3791,완전,O,⚠️일본어. PDL1.0 공공데이터 이용규약. 식품표 + 관엽식물
S-098,all,snapshot/all/S-098_emerging-plant-intoxications-eu.md,Emerging Plant Intoxications in Domestic Animals: A European Perspective,"Toxins (MDPI), 2023, 15(7):442",1,B,A 자유이용,이서은,https://doi.org/10.3390/toxins15070442,2026-08-01,팀원 크롤링 정리본,11374,a60b3645a4cd23f0,완전,O,유럽 신종 식물 중독. 국내 자생 여부 확인 필요
S-099,mammal,snapshot/mammal/S-099_california-drugs-of-abuse-pets.md,Dog and cat exposures to drugs of abuse identified by the California animal health and foo,"Frontiers in Veterinary Science, 2024, 11:1372614",1,B,A 자유이용,이서은,https://doi.org/10.3389/fvets.2024.1372614,2026-08-01,팀원 크롤링 정리본,8054,e7fed9a675239fc3,완전,O,대마초 등 약물 노출 증례. CC BY
S-100,dog,snapshot/dog/S-100_cornell-plants-toxic-to-dogs.md,Plants toxic to dogs,Cornell University College of Veterinary Medicine,1,B,B 가공활용,이서은,https://www.vet.cornell.edu/departments-centers-and-institutes/riney-canine-health-center/canine-health-topics/plants-toxic-dogs,2026-08-01,팀원 크롤링 정리본,1444,50ba0fc01279cab2,부분,X,"Cornell 개 식물. 1,444B로 짧다 — 목록 위주"
